Battles found in maps:
arn_02   : 0E0A0001 0E0D0001 0E030001 
iwa_03   : 09030001 09000001 09010001 09090001 
iwa_04   : 09010002 090C0003 
iwa_10   : 00000000 00000000 00000000 00000000 00000000 
iwa_11   : 00000000 
jan_00   : 00000000 00000000 00000000 00000000 00000000 00000000 
jan_01   : 00000000 140A0001 140A0001 140B0001 140A0001 
jan_02   : 00000000 00000000 
jan_03   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
jan_04   : 00000000 00000000 00000000 
jan_05   : 140A0002 14000002 00000000 14080002 140E0002 00000000 
jan_06   : 140D0002 14020002 00000000 14080002 14080002 
jan_07   : 14010004 15010004 00000000 
jan_08   : 14010002 14080002 14100002 140E0002 00000000 00000000 00000000 
jan_09   : 14030003 140E0003 140E0003 
jan_10   : 00000000 140A0004 
jan_11   : 00000000 
jan_12   : 14060007 
jan_14   : 140A0005 140B0005 
jan_15   : 15030005 00000000 00000000 
jan_16   : 00000000 
jan_22   : 00000000 14000008 00000000 00000000 00000000 
jan_23   : 00000000 
kgr_02   : 13000001 
kkj_00   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
kkj_01   : 00000000 
kkj_02   : 00000000 
kkj_03   : 00000000 
kkj_10   : 00000000 00000000 
kkj_11   : 00000000 00000000 
kkj_12   : 00000000 
kkj_13   : 23010000 00000000 23020000 23020000 00000000 
kkj_14   : 00000000 00000000 00000000 00000000 
kkj_15   : 00000000 00000000 00000000 
kkj_16   : 00000000 00000000 
kkj_18   : 00000000 
kkj_19   : 00000000 00000000 
kkj_20   : 00000000 
kkj_23   : 00000000 00000000 00000000 00000000 
kkj_25   : 23030000 00000000 26000000 00000000 23040000 00000000 26000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 23030000 00000000 26000000 00000000 00000000 
kkj_29   : 00000000 
kmr_00   : 00000000 00000000 
kmr_02   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
kmr_03   : 00020000 
kmr_04   : 02020000 00000000 
kmr_05   : 00000004 00000004 02000004 02010004 00000004 00000004 000A0004 00080004 
kmr_06   : 000B0003 00090003 
kmr_07   : 01000002 
kmr_09   : 00010003 00010003 00000003 00080003 
kmr_10   : 00000000 
kmr_11   : 01010000 00000000 
kmr_12   : 00010003 
kmr_20   : 00000000 00000000 00000000 00000000 
kmr_22   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
kmr_23   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
kmr_30   : 00000000 
kpa_01   : 22000004 22010004 
kpa_03   : 22200004 221F0004 22010004 22040004 222F0004 
kpa_08   : 222B0002 
kpa_09   : 220B0002 
kpa_10   : 00000003 
kpa_102  : 2224000B 2232000B 2216000B 
kpa_11   : 22180003 00000003 
kpa_111  : 2207000D 220C000D 
kpa_113  : 2206000D 
kpa_115  : 2214000D 
kpa_130  : 25020005 25020006 25030006 25040006 25010005 25010005 25010005 25010005 25010005 25010005 25010005 25010005 25010005 25010005 
kpa_133  : 00000000 
kpa_134  : 00000000 
kpa_16   : 221D0003 
kpa_17   : 00000000 
kpa_50   : 22180001 221A0001 220F0001 
kpa_51   : 222C0001 22290001 22240001 
kpa_52   : 22150001 22130001 
kpa_53   : 24020001 
kpa_61   : 22230009 22210009 22350009 22330009 
kpa_70   : 22180003 22190003 
kpa_81   : 00000001 
kpa_82   : 24000001 24000001 24000001 24000001 24000001 24000001 24000001 24000001 
kpa_83   : 02070000 
kpa_91   : 00000000 2217000E 
kpa_95   : 00000000 2217000E 
kpa_96   : 00000000 
kzn_01   : 00000000 
kzn_02   : 00000000 16000003 
kzn_03   : 00000000 16080002 16090002 160A0002 16130002 
kzn_04   : 00000000 00000000 00000000 
kzn_07   : 16050002 16060002 
kzn_08   : 16110005 
kzn_09   : 00000000 160B0002 160F0002 
kzn_11   : 00000000 00000000 00000000 16000003 16070003 
kzn_17   : 00000000 16140001 160D0001 
kzn_18   : 00000000 00000000 
kzn_19   : 00000000 00000000 17000007 
kzn_20   : 00000000 00000000 
kzn_22   : 00000000 00000000 
kzn_23   : 00000000 00000000 
mac_00   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
mac_01   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
mac_02   : 00000000 00000000 00000000 00000000 00000000 
mac_03   : 00000000 00000000 00000000 00000000 
mac_04   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
mac_06   : 00000000 00000000 00000000 
machi    : 00080000 00080000 00000000 
mgm_00   : 00000000 00000000 00000000 
mgm_01   : 00000000 
mgm_02   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
mim_01   : 0D090001 
mim_02   : 00000000 0D000001 0D010001 
mim_03   : 00000000 
mim_04   : 0D040001 00000000 
mim_05   : 0D0B0001 0D0A0001 
mim_06   : 0D0D0001 0D0E0001 0D070001 
mim_07   : 0D020001 0D060001 02040000 
mim_08   : 0D100001 0D0F0001 0D090001 
mim_09   : 0D050001 
mim_10   : 00000000 00000000 
mim_11   : 00000000 
mim_12   : 00000000 
nok_01   : 00000000 00000000 00000000 00000000 00000000 00000000 
nok_02   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
nok_03   : 05160002 05160002 00000000 
nok_04   : 05160004 05170004 
nok_11   : 02030000 05180001 05080001 05020001 05030002 
nok_12   : 05090001 050F0001 05010002 05040002 05090001 050F0001 05010002 05040002 
nok_14   : 050B0001 05110003 05060001 050C0001 
nok_15   : 050D0001 05140001 
obk_01   : 00000000 00000000 00000000 00000000 
obk_02   : 00000000 
obk_03   : 00000000 
obk_04   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
obk_05   : 00000000 
obk_07   : 00000000 00000000 00000000 
obk_08   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
obk_09   : 00000000 00000000 
omo_01   : 10000001 10020001 10020001 10010001 10050001 
omo_02   : 00000000 00000000 101B0001 
omo_03   : 00000000 00000000 00000000 
omo_04   : 00000000 12010001 12030001 12010001 10040001 100F0001 12030001 10040001 100F0001 10040001 100F0001 
omo_05   : 00000000 102A0007 
omo_06   : 00000000 
omo_07   : 00000000 12050006 12070006 120A0002 120A0002 120A0002 120A0002 10140001 10120001 12050006 120A0002 120A0002 120A0002 120A0002 10140001 10120001 12070006 120A0002 120A0002 120A0002 120A0002 10140001 10120001 
omo_08   : 00000000 120A0007 120A0007 120A0007 120A0007 
omo_09   : 00000000 12080005 12090005 12080005 120A0005 120A0005 120A0005 120A0005 120A0005 10090001 10190001 12090005 120A0005 120A0005 120A0005 120A0005 120A0005 10090001 10190001 120A0005 120A0005 120A0005 120A0005 120A0005 10090001 10190001 
omo_10   : 00000000 
omo_11   : 10220008 10240008 
omo_12   : 12000000 00000000 00000000 00000000 
omo_13   : 102C0001 10030001 10250001 
omo_14   : 00000000 00000000 
omo_15   : 11000000 
omo_16   : 00000000 
omo_17   : 10170007 101D0007 102B0007 00000000 
osr_00   : 00000000 00000000 00000000 00000000 00000000 00000000 
osr_01   : 00000000 
osr_02   : 00000000 00000000 
osr_03   : 00000000 
pra_01   : 21010001 
pra_04   : 21000001 
pra_09   : 21010001 21010001 21010001 
pra_10   : 1F010001 1F030001 
pra_13   : 21020001 21020001 
pra_18   : 1F0B0003 1F090003 1F0C0004 
pra_19   : 21010002 21010002 21010002 
pra_31   : 21010002 
pra_32   : 20000000 
pra_35   : 1F080002 21040001 
pra_36   : 210A0001 
pra_37   : 1F0D0001 
pra_38   : 1F010001 1F020001 
pra_39   : 21080001 
sam_01   : 00000001 00000001 00000001 00000000 00000001 00000001 00000001 00000000 00000001 00000000 
sam_02   : 00000001 00000001 00000000 00000001 00000000 
sam_03   : 02060000 1D010001 1D020001 
sam_04   : 00000000 00000000 
sam_05   : 1E000006 1E000006 1D060006 1D0A0006 1D060006 1D0A0006 1D010006 
sam_06   : 00000001 
sam_07   : 1D030003 1D090003 1D070003 
sam_08   : 1D000005 1D000005 1D0B0005 
sam_10   : 1D0C0003 
sam_11   : 00000001 00000001 00000001 00000001 00000000 00000001 00000001 00000000 00000001 00000001 00000001 00000000 
sam_12   : 00000001 
sbk_00   : 0A000001 0A010001 
sbk_01   : 0A030001 0A010001 
sbk_02   : 00000000 00000000 
sbk_03   : 0A000001 0A030001 0A020001 0A010001 
sbk_04   : 0A010001 0A010001 
sbk_05   : 0A000001 0A000001 0A000001 0A020001 0A020001 0A030001 0A010001 0A010001 0A010001 0A010001 
sbk_06   : 0A0C0001 
sbk_11   : 0A040001 0A0D0001 
sbk_12   : 0A020001 0A000001 0A010001 
sbk_13   : 0A040001 0A050001 0A0E0001 
sbk_15   : 0A050001 0A070001 
sbk_20   : 0A0C0001 0A0A0001 
sbk_22   : 0A080001 0A0E0001 
sbk_25   : 0A0A0001 0A0A0001 
sbk_26   : 0A0C0001 0A060001 
sbk_30   : 00000000 
sbk_31   : 0A0C0001 
sbk_32   : 0A010001 0A020001 0A0B0001 
sbk_34   : 00000000 
sbk_35   : 0A0C0001 
sbk_40   : 0A0B0001 0A0B0001 
sbk_42   : 0A0A0001 0A0B0001 
sbk_44   : 0A050001 0A040001 0A0E0001 
sbk_46   : 0A060001 0A0D0001 0A0C0001 
sbk_51   : 0A050001 0A0E0001 
sbk_53   : 0A000001 0A020001 0A010001 
sbk_55   : 0A020001 0A030001 
sbk_60   : 0A030001 
sbk_62   : 0A010001 0A010001 0A020001 
sbk_63   : 0A010001 0A030001 
sbk_66   : 0A090001 0A0B0001 0A0C0001 0A0A0001 0A0A0001 0A0A0001 
tik_01   : 1B000001 
tik_02   : 1B000001 
tik_04   : 1A0F0002 1A0E0002 
tik_05   : 1A100001 1A120001 
tik_07   : 1A0C0002 1A0D0002 
tik_08   : 1B000001 
tik_09   : 1A020004 1A010004 1A000004 
tik_12   : 1A150002 
tik_15   : 00060000 
tik_18   : 1A0A0001 1A0E0001 
tik_20   : 1A040004 1A050004 
tik_23   : 1A160004 1A170004 1A160004 
tik_24   : 1A060001 1A070001 
trd_00   : 00000000 08000000 
trd_01   : 06030003 06010008 06000008 06100008 
trd_02   : 0610000A 0610000A 0607000D 
trd_03   : 00000002 06030002 06040002 06030002 
trd_04   : 0605000D 060D0006 0605000D 060D0006 
trd_05   : 00000000 
trd_06   : 00000000 00000000 0604000C 00000000 
trd_07   : 06010004 06080004 060A0004 
trd_08   : 00060000 00060000 
trd_09   : 061A0007 061A0007 061A0007 061A0007 061A0007 06170007 061A0007 061A0007 061A0007 061A0007 061A0007 061A0007 061A0007 061A0007 061A0007 061A0007 00000000 
trd_10   : 07000000 
tst_04   : 00000000 
tst_13   : 00000000 
